id,url1,name,recommend,reader,author,translator,label,date,year,price,pages,printing,state
733,http://www.ituring.com.cn/book/1537,Java8实战,26,41100,Raoul-GabrielUrma MarioFusco AlanMycroft(作者),陆明刚 劳佳(译者) ,Java 函数式编程 lambdas ,2016/4/25,2016,79,368,黑白,上市销售
820,http://www.ituring.com.cn/book/1907,算法新解,22,41100,"""刘新宇(作者)",,数据结构 算法 函数式编程 ,2016/12/20,2016,99,592,黑白,上市销售
71,http://www.ituring.com.cn/book/1215,两周自制脚本语言,37,40800,千叶滋(作者), 陈筱烟(译者) ,编译原理 脚本 自制 脚本语言 ,2014/6/9,2014,59,300,黑白,上市销售
366,http://www.ituring.com.cn/book/1525,Go并发编程实战,13,40800,郝林(作者),,Go ,2014/11/17,2014,89,572,,暂时缺货
547,http://www.ituring.com.cn/book/1870,Git小书,20,40700,"""刘传君(作者)",,git 独立电子书 ,2016/6/23,2016,,,黑白,上市销售
57,http://www.ituring.com.cn/book/1295,程序员健康指南,18,40000,JoeKutner(作者),陈少芸(译者) ,,2014/9/10,2014,39,178,黑白,暂时缺货
442,http://www.ituring.com.cn/book/890,思考的乐趣：Matrix67数学笔记,41,40000,"""顾森(作者)",,科普 数学 纪念图灵 ,2012/6/29,2012,45,260,,上市销售
137,http://www.ituring.com.cn/book/731,信息简史,58,39800,［美］詹姆斯?格雷克(作者),高博(译者) ,科技史 图灵新知 信息论 香农 计算机历史 ,2013/12/1,2013,69,476,黑白,上市销售
440,http://www.ituring.com.cn/book/932,具体数学：计算机科学基础（第2版）,45,39500,RonaldL.Graham DonaldE.Knuth OrenPatashnik(作者), 张明尧  张凡(译者) ,离散数学 计算机科学 数学 具体数学 ,2013/4/1,2013,99,580,黑白,上市销售
390,http://www.ituring.com.cn/book/829,七周七语言：理解多种编程范型,72,39400,BruceA.Tate(作者),戴玮  白明  巨成(译者) ,ruby Erlang Prolog Io Scala Clojure Haskell jolt大奖 七周 ,2012/5/2,2012,59,247,,暂时缺货
122,http://www.ituring.com.cn/book/1305,Sketch中文手册,40,39000,BohemianCoding(作者),大胖 小冰(译者) ,ui 独立电子书 sketch 矢量图 ,2013/12/7,2013,,,,上市销售
328,http://www.ituring.com.cn/book/1484,Python网络编程攻略,10,38600,Dr.M.O.FaruqueSarker(作者),安道(译者) ,python 网络编程 ,2014/11/17,2014,45,188,黑白,上市销售
186,http://www.ituring.com.cn/book/1435,Linux就是这个范儿,60,38100,赵鑫磊 JieZhang（张洁）(作者),,linux ,2014/7/8,2014,95,752,黑白,上市销售
458,http://www.ituring.com.cn/book/857,R语言实战,31,38100,RobertI.Kabacoff(作者),高涛 肖楠 陈钢(译者) ,数据挖掘 统计 R语言 manning ,2012/12/24,2012,79,408,黑白,暂时缺货
665,http://www.ituring.com.cn/book/1460,垃圾回收的算法与实现,40,37800,中村成洋 相川光 竹内郁雄(作者), 丁灵(译者) ,垃圾回收 计算机算法 ,2016/8/8,2016,99,456,黑白,上市销售
553,http://www.ituring.com.cn/book/1554,Java技术手册（第6版）,140,37300,BenjaminJEvans DavidFlanagan(作者),安道(译者) ,Java api ,2015/11/23,2015,79,,黑白,上市销售
114,http://www.ituring.com.cn/book/1418,Bootstrap实战,17,37200,DavidCochran IanWhitley(作者),李松峰(译者) ,bootstrap ,2015/5/12,2015,49,240,黑白,暂时缺货
463,http://www.ituring.com.cn/book/60,番茄工作法图解：简单易行的时间管理方法,24,37200,StaffanNoteberg(作者),大胖(译者) ,时间管理 番茄工作法 敏捷开发 ,2011/2/17,2011,29,148,,上市销售
854,http://www.ituring.com.cn/book/1719,Python项目开发实战（第2版）,14,37200,BePROUD股份有限公司(作者), 支鹏浩(译者) ,python 实战 项目开发 项目 ,2016/12/5,2016,79,440,黑白,上市销售
255,http://www.ituring.com.cn/book/1444,程序员必读之软件架构,28,37000,SimonBrown(作者),邓钢(译者) ,软件架构 架构师 ,2014/11/26,2014,49,228,黑白,上市销售
68,http://www.ituring.com.cn/book/1098,计算的本质：深入剖析程序和计算机,89,36900,TomStuart(作者),张伟(译者) ,计算理论 编程 程序 代码 ,2014/11/10,2014,69,300,黑白,暂时缺货
849,http://www.ituring.com.cn/book/2118,Python基础教程（第3版）,24,36800,MagnusLieHetland(作者),袁国忠(译者) ,python ,2018/2/5,2018,99,458,单色,上市销售
102,http://www.ituring.com.cn/book/1485,Node与Express开发,27,36700,EthanBrown(作者),吴海星 苏文(译者) ,开发 node express ,2015/1/23,2015,69,274,黑白,上市销售
593,http://www.ituring.com.cn/book/894,推荐系统实践,30,36700,项亮 陈义 王益(作者),,人工智能 推荐系统 ,2012/6/11,2012,49,216,,上市销售
879,http://www.ituring.com.cn/book/1894,Python机器学习经典实例,18,36600,PrateekJoshi(作者),陶俊杰  陈小莉(译者) ,python 机器学习 ,2017/8/17,2017,59,244,单色,上市销售
383,http://www.ituring.com.cn/book/1298,Unity游戏设计与实现：南梦宫一线程序员的开发实例,13,36200,加藤政樹(作者),罗水东(译者) ,c# 游戏 unity 南梦宫 ,2015/2/13,2015,79,384,黑白,暂时缺货
556,http://www.ituring.com.cn/book/1131,Android软件安全与逆向分析,15,36200,丰生强(作者),,android 破解 加密 解密 逆向分析 系统安全 ,2013/2/22,2013,69,407,黑白,上市销售
453,http://www.ituring.com.cn/book/1581,GitHub入门与实践,27,36000,大塚弘记(作者), 支鹏浩刘斌(译者) ,github git 版本管理 ,2015/7/14,2015,39,280,黑白,上市销售
680,http://www.ituring.com.cn/book/39,黑客与画家：硅谷创业之父PaulGraham文集,88,36000,PaulGraham(作者),阮一峰(译者) ,计算机 it人文 黑客 文集 创业 o&#39;reilly 纪念图灵 ,2011/4/13,2011,49,264,黑白,上市销售
966,http://www.ituring.com.cn/book/1770,程序员的英语,26,36000,朴栽浒 李海永(作者), 颜廷连(译者) ,计算机英语 程序员 韩语 ,2018/3/19,2018,49,274,双色,上市销售
741,http://www.ituring.com.cn/book/1976,Android编程权威指南（第3版）,25,35900,BillPhillips ChrisStewart KristinMarsicano(作者), 王明发(译者) ,Java 移动开发 android Android开发 安卓应用 安卓开发 ,2017/7/7,2017,129,,黑白,上市销售
883,http://www.ituring.com.cn/book/1946,前端架构设计,22,35600,[美]MicahGodbolt(作者), 潘泰燊  张鹏  许金泉(译者) ,html web开发 设计 前端 ,2017/4/21,2017,49,149,单色,上市销售
896,http://www.ituring.com.cn/book/1745,Python数据挖掘入门与实践,14,35600,RobertLayton(作者), 杜春晓(译者) ,python 数据挖掘 大数据 数据科学 ,2016/7/5,2016,59,252,黑白,上市销售
296,http://www.ituring.com.cn/book/1396,Python基础教程（第2版?修订版）,16,35500,MagnusLieHetland(作者), 司维  曾军崴  谭颖华(译者) ,python ,2014/5/12,2014,79,448,黑白,上市销售
298,http://www.ituring.com.cn/book/42,JavaScriptDOM编程艺术(第2版),31,35300,JeffreySambells JeremyKeith(作者), 杨涛  杨晓云  王建桥 魏忠(译者) ,javascript 前端 ,2011/4/7,2011,49,300,,上市销售
554,http://www.ituring.com.cn/book/1039,世界是数字的（谷歌常务董事长施密特和盖茨及扎克伯格导师刘易斯重磅推荐）,58,35100,BrianKernighan(作者),李松峰 徐建刚(译者) ,计算机概论 计算机文化 kernighan 数字时代 纪念图灵 ,2013/7/5,2013,49,272,黑白,暂时缺货
515,http://www.ituring.com.cn/book/993,计算机程序设计艺术卷1：基本算法（第3版）,64,34800,DonaldE.Knuth(作者), 李伯民  范明  蒋爱军(译者) ,算法 计算机科学 计算数学 ,2015/12/30,2015,198,,黑白,上市销售
658,http://www.ituring.com.cn/book/758,持续交付：发布可靠软件的系统方法,10,34700,JezHumble DavidFarley(作者),乔梁(译者) ,软件开发 持续交付 敏捷开发 jolt大奖 ,2011/10/12,2011,89,384,,上市销售
83,http://www.ituring.com.cn/book/1142,CPU自制入门,33,34600,水头一寿 米泽辽 藤田裕士(作者),赵谦(译者) ,diy 自制 cpu 硬件 ,2013/12/17,2013,99,464,黑白,暂时缺货
42,http://www.ituring.com.cn/book/1061,Node.js实战,26,34400,MikeCantelon TJHolowaychuk(作者),吴海星(译者) ,node ,2014/5/5,2014,69,356,,上市销售
32,http://www.ituring.com.cn/book/1170,LinuxShell脚本攻略（第2版）,14,34100,ShantanuTushar SarathLakshman(作者),门佳(译者) ,linux shell ,2013/12/25,2013,59,312,黑白,暂时缺货
435,http://www.ituring.com.cn/book/1548,精通Linux（第2版）,37,33900,BrianWard(作者),姜南  袁志鹏(译者) ,linux ,2015/7/14,2015,59,304,黑白,上市销售
136,http://www.ituring.com.cn/book/1391,如何变得有思想：阮一峰博客文集I,24,33800,"""阮一峰(作者)",,it人文 读书笔记 阮一峰 独立电子书 ,2014/5/22,2014,,,,上市销售
183,http://www.ituring.com.cn/book/1440,数据结构与算法JavaScript描述,25,33100,MichaelMcMillan(作者),王群锋 杜欢(译者) ,数据结构 算法 ,2014/8/18,2014,49,216,黑白,上市销售
343,http://www.ituring.com.cn/book/1139,计算机是怎样跑起来的,55,32900,矢泽久雄(作者),胡屹(译者) ,计算机工作基本原理 ,2015/5/27,2015,39,272,双色,上市销售
226,http://www.ituring.com.cn/book/1140,JavaScript编程全解,21,32600,井上诚一郎 土江拓郎 滨边将太(作者), 陈筱烟(译者) ,javascript 前端 ,2013/11/25,2013,79,420,黑白,暂时缺货
769,http://www.ituring.com.cn/book/1236,ScrivenerforMac使用指南,9,32500,"""龚诚(作者)",,写作 mac 独立电子书 scrivener 写作软件 ,2013/8/1,2013,,,,上市销售
54,http://www.ituring.com.cn/book/1364,iOS开发指南：从零基础到AppStore上架（第2版）,10,32400,"""关东升(作者)",,ios ios开发 ios-7 ,2014/3/18,2014,99,712,黑白,暂时缺货
264,http://www.ituring.com.cn/book/1321,战胜过敏性鼻炎,14,32200,"""王永强(作者)",,健康 独立电子书 ,2013/12/26,2013,,,,上市销售
27,http://www.ituring.com.cn/book/1196,Python编程入门（第3版）,11,32100,TobyDonaldson(作者),袁国忠(译者) ,python ,2013/11/14,2013,39,212,黑白,上市销售
457,http://www.ituring.com.cn/book/1160,iOS开发指南：从零基础到AppStore上架,11,32100,"""关东升(作者)",,,2013/7/25,2013,99,704,黑白,暂时缺货
125,http://www.ituring.com.cn/book/1169,jQuery基础教程（第4版）（国内第一本jQuery权威教程 一版再版 累计重印14次 不可错过的实战类经典技术著作！）,16,32000,JonathanChaffer KarlSwedberg(作者),李松峰(译者) ,jQuery javascript框架 ,2013/10/12,2013,59,336,黑白,上市销售
277,http://www.ituring.com.cn/book/1237,Ruby基础教程（第4版）,36,31900,高桥征义 后藤裕藏 松本行弘(作者),何文斯(译者) ,ruby ruby2.0 ,2014/9/28,2014,79,352,黑白,上市销售
94,http://www.ituring.com.cn/book/1430,啊哈！算法,19,31800,啊哈磊(作者),,数据结构 算法 软件开发 ,2014/6/6,2014,45,256,黑白,上市销售
709,http://www.ituring.com.cn/book/1734,HTTPS权威指南：在服务器和Web应用上部署SSL/TLS和PKI,25,31800,IvanRisti?(作者),杨洋 李振宇 蒋锷 周辉 陈传文(译者) ,程序设计 安全 web安全 开发 前端 系统安全 系统管理 ,2016/9/27,2016,99,436,黑白,上市销售
31,http://www.ituring.com.cn/book/1010,程序员面试金典（第5版）,24,31600,GayleLaakmannMcDowell(作者), 李琳骁 漆犇(译者) ,面试 ,2013/11/6,2013,59,372,黑白,上市销售
531,http://www.ituring.com.cn/book/1183,NumPy攻略：Python科学计算与数据分析,11,31400,IvanIdris(作者),张崇明(译者) ,python 数据分析 NumPy ,2013/9/16,2013,49,188,黑白,暂时缺货
